VEHICLE_GY_ON,VEHICLE_GY_OFF,LED_ON,STATION_GY_ON,STATION_GY_OFF,PHOTOTRANSISTOR
1770128679427276138,1770128679710651756,1770128679427276194,1770128679421252665,1770128679716315386,1770128679427747245
1770128680879712067,1770128681180495752,1770128680879712141,1770128680881656733,1770128681177405772,1770128680880183820
1770128682510857650,1770128682784681037,1770128682510857706,1770128682504056559,1770128682791563623,1770128682511324253
1770128686827644937,1770128687107999675,1770128686827644992,1770128686829946008,1770128687105995617,1770128686828113371
1770128688271754469,1770128688564075982,1770128688271754525,1770128688266491447,1770128688571687928,1770128688272226823
1770128689851169790,1770128690139379217,1770128689851169846,1770128689852819364,1770128690137030358,1770128689851638785
1770128691312097054,1770128691591574159,1770128691312097128,1770128691305937046,1770128691596653601,1770128691312566756
1770128692736435361,1770128693008368093,1770128692736435435,1770128692738339521,1770128693006395185,1770128692736911090
1770128694203666845,1770128694478105973,1770128694203667030,1770128694196310137,1770128694485499010,1770128694204136704
1770128695672432451,1770128695937626023,1770128695672432506,1770128695674397848,1770128695935520023,1770128695672897491
1770128697211420501,1770128697464807189,1770128697211420686,1770128697206193590,1770128697472676949,1770128697211893796
1770128698644547312,1770128698904357851,1770128698644547405,1770128698647210223,1770128698902108279,1770128698645020918
1770128700107223491,1770128700395109997,1770128700107223546,1770128700104963548,1770128700401682929,1770128700107694985
1770128701513141448,1770128701799916748,1770128701513141522,1770128701514456016,1770128701798001684,1770128701513610161
1770128704500836503,1770128704772999262,1770128704500836559,1770128704502380755,1770128704771155715,1770128704501301343
1770128705931744332,1770128706215209842,1770128705931744387,1770128705928438092,1770128706221413312,1770128705932214644
1770128710354234312,1770128710648300338,1770128710354234368,1770128710355636748,1770128710646509861,1770128710354707355
1770128711811191869,1770128712098287247,1770128711811191925,1770128711804372979,1770128712104995407,1770128711811673266
1770128715051712140,1770128715330379679,1770128715051712214,1770128715046225465,1770128715335313850,1770128715052184858
1770128717524250935,1770128717793784980,1770128717524251009,1770128717525472641,1770128717791611290,1770128717524722675
1770128719168143056,1770128719450700173,1770128719168143112,1770128719161613291,1770128719457181695,1770128719168604242
1770128720707679335,1770128721017953281,1770128720707679409,1770128720709776488,1770128721015704771,1770128720708143130
1770128722308843630,1770128722607414247,1770128722308843686,1770128722301731343,1770128722613007406,1770128722309306205
1770128723925810895,1770128724222582294,1770128723925810969,1770128723928375219,1770128724220274968,1770128723926279711
1770128725630244871,1770128725929162535,1770128725630244945,1770128725624498410,1770128725937378964,1770128725630713915
1770128727254737971,1770128727555141801,1770128727254738026,1770128727257713755,1770128727553787097,1770128727255203079
1770128728884900722,1770128729177927804,1770128728884900777,1770128728879708713,1770128729184745897,1770128728885367253
1770128732043297853,1770128732323864215,1770128732043297927,1770128732037071273,1770128732330356838,1770128732043763132
1770128733677785630,1770128733987502796,1770128733677785722,1770128733678797947,1770128733985234802,1770128733678248593
1770128735418559168,1770128735732852773,1770128735418559224,1770128735414192329,1770128735737137506,1770128735419019440
1770128736935889538,1770128737254419044,1770128736935889613,1770128736937197071,1770128737251336086,1770128736936354012
1770128738630465351,1770128738969891952,1770128738630465425,1770128738624859112,1770128738976746920,1770128738630933432
1770128741139145691,1770128741475958692,1770128741139145746,1770128741140738266,1770128741473583428,1770128741139610966
1770128743009805370,1770128743309848657,1770128743009805425,1770128743004253672,1770128743316150884,1770128743010273677
1770128744780327428,1770128745092039173,1770128744780327502,1770128744782596553,1770128745089425025,1770128744780795213
